commodity,day,hour,month,region,supply,timeslice,units_prices,year
heat,all-week,early-morning,all-year,R1,2.52000000000,6,MUS$2010/PJ,2032
CO2f,all-week,early-morning,all-year,R1,79.54720000000,6,MUS$2010/kt,2032
electricity,all-week,late-afternoon,all-year,R1,1.00800000000,7,MUS$2010/PJ,2032
gas,all-week,late-afternoon,all-year,R1,1.44920000000,7,MUS$2010/PJ,2032
heat,all-week,late-afternoon,all-year,R1,2.52000000000,7,MUS$2010/PJ,2032
CO2f,all-week,late-afternoon,all-year,R1,79.54720000000,7,MUS$2010/kt,2032
electricity,all-week,night,all-year,R1,0.54130000000,0,MUS$2010/PJ,2034
gas,all-week,night,all-year,R1,0.78740000000,0,MUS$2010/PJ,2034
heat,all-week,night,all-year,R1,1.35330000000,0,MUS$2010/PJ,2034
CO2f,all-week,night,all-year,R1,43.22090000000,0,MUS$2010/kt,2034
electricity,all-week,morning,all-year,R1,0.77330000000,1,MUS$2010/PJ,2034
gas,all-week,morning,all-year,R1,1.12480000000,1,MUS$2010/PJ,2034
heat,all-week,morning,all-year,R1,1.93330000000,1,MUS$2010/PJ,2034
CO2f,all-week,morning,all-year,R1,61.74420000000,1,MUS$2010/kt,2034
electricity,all-week,mid-afternoon,all-year,R1,0.54130000000,2,MUS$2010/PJ,2034
gas,all-week,mid-afternoon,all-year,R1,0.78740000000,2,MUS$2010/PJ,2034
heat,all-week,mid-afternoon,all-year,R1,1.35330000000,2,MUS$2010/PJ,2034
CO2f,all-week,mid-afternoon,all-year,R1,43.22090000000,2,MUS$2010/kt,2034
electricity,all-week,early-peak,all-year,R1,0.77330000000,3,MUS$2010/PJ,2034
gas,all-week,early-peak,all-year,R1,1.12480000000,3,MUS$2010/PJ,2034
heat,all-week,early-peak,all-year,R1,1.93330000000,3,MUS$2010/PJ,2034
CO2f,all-week,early-peak,all-year,R1,61.74420000000,3,MUS$2010/kt,2034
electricity,all-week,late-peak,all-year,R1,1.62400000000,4,MUS$2010/PJ,2034
gas,all-week,late-peak,all-year,R1,2.36210000000,4,MUS$2010/PJ,2034
heat,all-week,late-peak,all-year,R1,4.06000000000,4,MUS$2010/PJ,2034
CO2f,all-week,late-peak,all-year,R1,129.66280000000,4,MUS$2010/kt,2034
electricity,all-week,evening,all-year,R1,1.08270000000,5,MUS$2010/PJ,2034
gas,all-week,evening,all-year,R1,1.57480000000,5,MUS$2010/PJ,2034
heat,all-week,evening,all-year,R1,2.70670000000,5,MUS$2010/PJ,2034
CO2f,all-week,evening,all-year,R1,86.44190000000,5,MUS$2010/kt,2034
electricity,all-week,early-morning,all-year,R1,1.08270000000,6,MUS$2010/PJ,2034
gas,all-week,early-morning,all-year,R1,1.57480000000,6,MUS$2010/PJ,2034
heat,all-week,early-morning,all-year,R1,2.70670000000,6,MUS$2010/PJ,2034
CO2f,all-week,early-morning,all-year,R1,86.44190000000,6,MUS$2010/kt,2034
electricity,all-week,late-afternoon,all-year,R1,1.08270000000,7,MUS$2010/PJ,2034
gas,all-week,late-afternoon,all-year,R1,1.57480000000,7,MUS$2010/PJ,2034
heat,all-week,late-afternoon,all-year,R1,2.70670000000,7,MUS$2010/PJ,2034
CO2f,all-week,late-afternoon,all-year,R1,86.44190000000,7,MUS$2010/kt,2034
electricity,all-week,night,all-year,R1,0.57870000000,0,MUS$2010/PJ,2036
gas,all-week,night,all-year,R1,0.76740000000,0,MUS$2010/PJ,2036
heat,all-week,night,all-year,R1,1.44670000000,0,MUS$2010/PJ,2036
CO2f,all-week,night,all-year,R1,42.12510000000,0,MUS$2010/kt,2036
electricity,all-week,morning,all-year,R1,0.82670000000,1,MUS$2010/PJ,2036
gas,all-week,morning,all-year,R1,1.09630000000,1,MUS$2010/PJ,2036
heat,all-week,morning,all-year,R1,2.06670000000,1,MUS$2010/PJ,2036
CO2f,all-week,morning,all-year,R1,60.17870000000,1,MUS$2010/kt,2036
electricity,all-week,mid-afternoon,all-year,R1,0.57870000000,2,MUS$2010/PJ,2036
gas,all-week,mid-afternoon,all-year,R1,0.76740000000,2,MUS$2010/PJ,2036
heat,all-week,mid-afternoon,all-year,R1,1.44670000000,2,MUS$2010/PJ,2036
CO2f,all-week,mid-afternoon,all-year,R1,42.12510000000,2,MUS$2010/kt,2036
electricity,all-week,early-peak,all-year,R1,0.82670000000,3,MUS$2010/PJ,2036
gas,all-week,early-peak,all-year,R1,1.09630000000,3,MUS$2010/PJ,2036
heat,all-week,early-peak,all-year,R1,2.06670000000,3,MUS$2010/PJ,2036
CO2f,all-week,early-peak,all-year,R1,60.17870000000,3,MUS$2010/kt,2036
electricity,all-week,late-peak,all-year,R1,1.73600000000,4,MUS$2010/PJ,2036
gas,all-week,late-peak,all-year,R1,2.30220000000,4,MUS$2010/PJ,2036
heat,all-week,late-peak,all-year,R1,4.34000000000,4,MUS$2010/PJ,2036
CO2f,all-week,late-peak,all-year,R1,126.37520000000,4,MUS$2010/kt,2036
electricity,all-week,evening,all-year,R1,1.15730000000,5,MUS$2010/PJ,2036
gas,all-week,evening,all-year,R1,1.53480000000,5,MUS$2010/PJ,2036
heat,all-week,evening,all-year,R1,2.89330000000,5,MUS$2010/PJ,2036
CO2f,all-week,evening,all-year,R1,84.25010000000,5,MUS$2010/kt,2036
